Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Resistant to G_A,Total: Received 1st Tx & Resistant to G_B,Total: Received 1st Tx & Resistant to G_AB,Total: Success 1st,Total: Success A or B,Total: Success M,Total: Success All,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence | Sym,Averge size: Prevalence | G_A,Averge size: Prevalence | G_B,Averge size: Prevalence | G_AB,Average ratio: Prevalence,Average ratio: % infection symptomatic,Average ratio: % infection resistant to G_A,Average ratio: % infection resistant to G_B,Average ratio: % infection resistant to G_AB,Average ratio: % received 1st Tx & symptomatic ,Average ratio: % received 1st Tx & resistant to G_A,Average ratio: % received 1st Tx & resistant to G_B,Average ratio: % received 1st Tx & resistant to G_AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of A and B
Base,364,0.05,1,5000,-137029431,1188037569,13182629,5203141,104062.82,13182629,9162148,75511,62465,0,13099433,7937351,5203141,13140492,4876396.898,74699.06995,5195.692912,608.0630769,466.265,0.00010989,0.01531832,0.06956834,0.00710706,0.006326317,1.93787E-09,0.695059534,0.005069116,0.004835092,0,0.054065993,0.578658841
Base,364,0.05,1,5000,-86734539,285526872,8376004,2974499,59489.98,8376004,6110215,97631,108123,1,8276267,5361032,2974499,8335531,4878880.6,55023.32714,1043.85489,1010.215,753.7458791,0.008241758,0.011278231,0.018875765,0.015064273,0.015813125,1.33485E-07,0.729592676,0.009706993,0.014903189,9.69551E-08,0.034335962,0.558460378
Base,364,0.05,1,5000,-112693766,1714832567,10606830,6625466,132509.32,10606830,7627045,106832,286137,0,10482460,3929917,6625466,10555383,4881210.363,55094.9139,3984.978132,746.7093407,1553.827802,0.000714286,0.011287876,0.072226178,0.012144825,0.026870319,1.36281E-08,0.718947701,0.009066481,0.025813342,0,0.043460931,0.337476557
Base,364,0.05,1,5000,-90147771,440281267,8380138,6346391,126927.82,8380138,5401608,446848,60317,353,8310610,2002046,6346391,8348437,4875429.184,61752.50835,2959.934396,3333.867967,521.593022,2.86956044,0.012665727,0.047927165,0.050039636,0.007215122,4.17046E-05,0.644569371,0.049536172,0.006162596,3.79013E-05,0.034376074,0.197925867
Base,364,0.05,1,5000,-107996715,1447657814,10774755,249165,4983.3,10774755,7427930,111352,55834,0,10674484,10473836,249165,10723001,4880184.838,86881.13302,4892.784341,1377.505275,511.9671429,0.000164835,0.017802836,0.05631099,0.01546497,0.005696762,2.55842E-09,0.689401802,0.010081892,0.005006603,0,0.044156538,0.978318853
Base,364,0.05,1,5000,-132371608,1750828942,13236046,11148,222.96,13236046,8905308,127215,26036,0,13136079,13171676,11148,13182824,4878489.979,88077.72154,3719.080989,1243.857198,217.7786264,0.000659341,0.018054461,0.042222411,0.013714917,0.002445867,8.88682E-09,0.672789685,0.009472652,0.001962004,0,0.054262377,0.999091212
Base,364,0.05,1,5000,-81998659,1833319668,7787422,4124439,82488.78,7787422,4949343,42730,60306,1,7733837,3633171,4124439,7757610,4879594.517,60518.6867,3902.526868,463.5698901,576.0124725,0.005,0.012403257,0.064401997,0.005617805,0.009190195,6.43947E-08,0.63536027,0.004012163,0.007554504,9.63168E-08,0.031919709,0.398457225
Base,364,0.05,1,5000,-100007940,1153350790,9598918,4018760,80375.2,9598918,5879275,87885,367348,411618,9470416,5504677,4018760,9523437,4879397.686,54786.53604,1659.001813,805.0964835,2105.162857,2361.208242,0.011227877,0.030293418,0.012809179,0.042610862,0.048238365,0.61260106,0.008115095,0.042382714,0.047920147,0.039343155,0.516779016
Base,364,0.05,1,5000,-153197092,1307689094,14110494,12092152,241843.04,14110494,10354474,1259897,110770,20,14021399,1983558,12092152,14075710,4879482.865,103592.2054,5127.844231,9243.903187,1119.210275,0.165714286,0.021230204,0.04952868,0.089381329,0.011420338,1.75984E-06,0.733793748,0.089478139,0.008396702,1.54943E-06,0.057835457,0.157564828
Base,364,0.05,1,5000,-156016563,1480084698,14541865,10597913,211958.26,14541865,10568740,120964,154312,0,14433389,3899869,10597913,14497782,4876404.249,117341.0457,1643.56522,1080.351923,1753.332912,0.003076923,0.024064429,0.014040234,0.010724238,0.015982705,3.43604E-08,0.726786873,0.009650648,0.011444852,0,0.059645199,0.316217603
